transfer_type,size_bytes,size_mb,latency_ms,bandwidth_gb_per_s,model,category,num_local_experts,num_tokens,batch_size
hbm_read,524288,0.5,0.009696000255644321,50.359038482466765,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,1048576,1.0,0.014783999882638454,66.05536443130138,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,2097152,2.0,0.014816000126302242,131.82539034490804,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,4194304,4.0,0.014944000169634819,261.392529152752,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,8388608,8.0,0.014816000126302242,527.3015613796322,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,16777216,16.0,0.015807999297976494,988.4236268912337,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,33554432,32.0,0.029759999364614487,1050.0672267203463,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,67108864,64.0,0.050912000238895416,1227.6084166155322,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,134217728,128.0,0.0952640026807785,1312.1430601532068,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,268435456,256.0,0.18307200074195862,1365.5829345109792,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,536870912,512.0,0.36137598752975464,1383.6005082070692,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,524288,0.5,0.01756799966096878,27.793787535460023,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,1048576,1.0,0.027023999951779842,36.13685989278142,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,2097152,2.0,0.04623999819159508,42.23886410867149,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,4194304,4.0,0.08422400057315826,46.379297746691236,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,8388608,8.0,0.1600480005145073,48.81348079879229,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,16777216,16.0,0.3118080049753189,50.110964922907584,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,33554432,32.0,0.6116160154342651,51.094149288768364,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,67108864,64.0,1.2166719436645508,51.36964021028819,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,134217728,128.0,2.4269280433654785,51.505441350728944,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,268435456,256.0,4.848912000656128,51.55795773694622,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,536870912,512.0,9.741759777069092,51.32542902330015,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,524288,0.5,0.01688000001013279,28.926614319128717,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,1048576,1.0,0.026944000273942947,36.244154174256586,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,2097152,2.0,0.04575999826192856,42.68192906871158,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,4194304,4.0,0.08396799862384796,46.520699123708496,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,8388608,8.0,0.15972799807786942,48.91127475466954,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,16777216,16.0,0.31118398904800415,50.21145222734978,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
